distrito,total_alojamientos,precio_medio,precio_mediano,ocupacion_media,ingresos_medios_anuales,ingresos_medios_mensuales,reviews_ultimo_anio,reviews_media_ultimo_anio
Palma-Palmilla,113,166.05,139.0,77.12,11672.0,972.67,1416,12.53
Puerto de la Torre,30,168.17,115.0,74.6,11454.8,954.57,334,11.13
Centro,5261,136.18,108.0,85.17,9757.95,813.16,77299,14.69
Ciudad Jardin,44,137.45,71.5,81.52,9450.0,787.5,529,12.02
Churriana,112,191.13,124.5,55.54,8975.0,747.92,948,8.46
Este,799,147.88,106.0,61.23,8758.17,729.85,7315,9.16
Campanillas,19,209.53,230.0,42.68,7330.37,610.86,136,7.16
Carretera de Cadiz,665,118.78,102.0,64.42,6965.7,580.48,7217,10.85
Bailen-Miraflores,209,89.1,83.0,84.21,6668.49,555.71,2951,14.12
Cruz De Humilladero,293,113.97,95.0,57.33,5847.6,487.3,2830,9.66
Teatinos-Universidad,53,117.6,112.0,29.75,3175.94,264.66,167,3.15
